date,air,auto,boat,bus,coach,cruise,total,train
20161111,0,4212,7932,11023,13096,0,49445,13182
20161112,0,4379,8150,11463,13619,2532,53325,13182
20161113,0,2411,5587,6312,7501,0,34993,13182
20161114,0,2214,5330,5794,6890,0,33410,13182
20161115,0,2268,5401,5935,7059,0,33845,13182
20161116,0,2241,5367,5872,6975,0,33637,13182
20161117,0,2601,5836,6815,8094,0,36528,13182
20161118,0,3869,7485,10128,12029,0,46693,13182
20161119,0,3995,5203,10458,12420,2532,34608,0
20161120,0,2368,5532,6203,7368,0,34653,13182
20161121,0,2193,5305,5747,6825,715,33967,13182
20161122,0,2247,5370,5872,6986,715,34372,13182
20161123,0,0,0,0,0,0,13182,13182
20161124,0,2932,6266,7679,9120,0,39179,13182
20161125,0,3818,7421,10003,11873,0,46297,13182
20161126,0,4027,7690,10536,12523,2532,50490,13182
20161127,0,2405,5579,6297,7478,0,34941,13182
